displayName,nflId,newId,tech
Bobby Wagner,38577,2022090800101,00
Aaron Donald,41239,2022090800101,4
Leonard Floyd,43298,2022090800101,6
A'Shawn Robinson,43335,2022090800101,2
Greg Gaines,47917,2022090800101,0
Justin Hollins,47939,2022090800101,4
Von Miller,37075,20220908001187,6
DaQuan Jones,41341,20220908001187,2
Matt Milano,44976,20220908001187,40
Tremaine Edmunds,46085,20220908001187,00
Ed Oliver,47792,20220908001187,2
Gregory Rousseau,53459,20220908001187,4
Jordan Phillips,42395,20220908001254,2
Matt Milano,44976,20220908001254,40
Tremaine Edmunds,46085,20220908001254,20
Tim Settle,46232,20220908001254,2
A.J. Epenesa,52462,20220908001254,4
Von Miller,37075,20220908001385,4
DaQuan Jones,41341,20220908001385,2
Matt Milano,44976,20220908001385,60
Tremaine Edmunds,46085,20220908001385,00
Tim Settle,46232,20220908001385,2
Gregory Rousseau,53459,20220908001385,6
Von Miller,37075,20220908001406,6
DaQuan Jones,41341,20220908001406,2
Jordan Phillips,42395,20220908001406,4
Matt Milano,44976,20220908001406,20
Tremaine Edmunds,46085,20220908001406,60
Gregory Rousseau,53459,20220908001406,4
Bobby Wagner,38577,2022090800146,20
Aaron Donald,41239,2022090800146,4
Leonard Floyd,43298,2022090800146,6
A'Shawn Robinson,43335,2022090800146,4
Greg Gaines,47917,2022090800146,0
Justin Hollins,47939,2022090800146,4
DaQuan Jones,41341,20220908001736,2
Matt Milano,44976,20220908001736,6
Tremaine Edmunds,46085,20220908001736,00
Tim Settle,46232,20220908001736,2
A.J. Epenesa,52462,20220908001736,4
Gregory Rousseau,53459,20220908001736,6
Bobby Wagner,38577,2022090800191,20
Aaron Donald,41239,2022090800191,4
A'Shawn Robinson,43335,2022090800191,4
Greg Gaines,47917,2022090800191,0
Justin Hollins,47939,2022090800191,4
Terrell Lewis,52492,2022090800191,6
Von Miller,37075,20220908001946,4
Jordan Phillips,42395,20220908001946,2
Matt Milano,44976,20220908001946,60
Tremaine Edmunds,46085,20220908001946,50
Tim Settle,46232,20220908001946,2
Gregory Rousseau,53459,20220908001946,6
Bobby Wagner,38577,20220908002043,20
Aaron Donald,41239,20220908002043,2
A'Shawn Robinson,43335,20220908002043,4
Greg Gaines,47917,20220908002043,0
Justin Hollins,47939,20220908002043,4
Bobby Wagner,38577,20220908002072,20
Aaron Donald,41239,20220908002072,4
Leonard Floyd,43298,20220908002072,4
A'Shawn Robinson,43335,20220908002072,4
Greg Gaines,47917,20220908002072,0
Ernest Jones,53532,20220908002072,40
Bobby Wagner,38577,20220908002093,40
Aaron Donald,41239,20220908002093,2
Leonard Floyd,43298,20220908002093,4
Greg Gaines,47917,20220908002093,2
Ernest Jones,53532,20220908002093,20
Bobby Wagner,38577,20220908002163,20
Aaron Donald,41239,20220908002163,4
A'Shawn Robinson,43335,20220908002163,4
Greg Gaines,47917,20220908002163,5
Justin Hollins,47939,20220908002163,6
DaQuan Jones,41341,20220908002360,2
Jordan Phillips,42395,20220908002360,2
Matt Milano,44976,20220908002360,20
Tremaine Edmunds,46085,20220908002360,60
A.J. Epenesa,52462,20220908002360,4
Carlos Basham,53490,20220908002360,6
Bobby Wagner,38577,20220908002485,50
Leonard Floyd,43298,20220908002485,4
A'Shawn Robinson,43335,20220908002485,4
Greg Gaines,47917,20220908002485,0
Justin Hollins,47939,20220908002485,6
Marquise Copeland,48770,20220908002485,2
Jonah Williams,52846,20220908002485,4
Bobby Wagner,38577,20220908002506,00
Aaron Donald,41239,20220908002506,4
A'Shawn Robinson,43335,20220908002506,6
Greg Gaines,47917,20220908002506,5
Justin Hollins,47939,20220908002506,6
Ernest Jones,53532,20220908002506,60
Bobby Wagner,38577,20220908002551,40
Aaron Donald,41239,20220908002551,4
Leonard Floyd,43298,20220908002551,4
A'Shawn Robinson,43335,20220908002551,4
Greg Gaines,47917,20220908002551,5
Terrell Lewis,52492,20220908002551,6
Ernest Jones,53532,20220908002551,20
Bobby Wagner,38577,20220908002648,20
Aaron Donald,41239,20220908002648,4
Leonard Floyd,43298,20220908002648,4
